group_name,mean_count,prop_infeasible
dM 5 ,6.708533333333334,0.72
dM 10 ,4.324533333333334,0.4746666666666667
dM 15 ,3.6834666666666664,0.36
dM 20 ,3.6463999999999994,0.36
dM 25 ,3.622933333333333,0.36
aM 1 ,3.8068800000000005,0.3632
aM 2 ,4.3316799999999995,0.4688
aM 3 ,5.052959999999999,0.5328
XM 3 ,10.0,1.0
XM 6 ,3.001066666666667,0.32266666666666666
XM 9 ,2.950933333333333,0.31733333333333336
XM 12 ,3.044533333333333,0.32
XM 15 ,2.989333333333333,0.31466666666666665
YM 5 ,10.0,1.0
YM 10 ,3.0509333333333335,0.32
YM 15 ,2.965866666666666,0.31466666666666665
YM 20 ,2.9882666666666666,0.32
YM 25 ,2.9808,0.32
serM 5 ,3.7637333333333336,0.37333333333333335
serM 10 ,4.336,0.44533333333333336
serM 15 ,4.509066666666667,0.4746666666666667
serM 20 ,4.658666666666667,0.4826666666666667
serM 25 ,4.7184,0.49866666666666665
dM 5 aM 1 ,4.440799999999999,0.376
dM 5 aM 2 ,6.764,0.872
dM 5 aM 3 ,8.920800000000002,0.912
dM 10 aM 1 ,3.7656000000000005,0.36
dM 10 aM 2 ,3.9864,0.392
dM 10 aM 3 ,5.221600000000001,0.672
dM 15 aM 1 ,3.6184000000000007,0.36
dM 15 aM 2 ,3.6416000000000004,0.36
dM 15 aM 3 ,3.7903999999999995,0.36
dM 20 aM 1 ,3.6,0.36
dM 20 aM 2 ,3.648,0.36
dM 20 aM 3 ,3.6912000000000003,0.36
dM 25 aM 1 ,3.6096000000000004,0.36
dM 25 aM 2 ,3.6184000000000003,0.36
dM 25 aM 3 ,3.6408,0.36
dM 5 XM 3 ,10.0,1.0
dM 5 XM 6 ,5.94,0.6533333333333333
dM 5 XM 9 ,5.670666666666666,0.6266666666666667
dM 5 XM 12 ,6.095999999999999,0.68
dM 5 XM 15 ,5.836,0.64
dM 10 XM 3 ,10.0,1.0
dM 10 XM 6 ,2.876,0.36
dM 10 XM 9 ,2.9093333333333327,0.36
dM 10 XM 12 ,2.921333333333333,0.32
dM 10 XM 15 ,2.916,0.3333333333333333
dM 15 XM 3 ,10.0,1.0
dM 15 XM 6 ,2.104,0.2
dM 15 XM 9 ,2.091999999999999,0.2
dM 15 XM 12 ,2.1106666666666665,0.2
dM 15 XM 15 ,2.1106666666666665,0.2
dM 20 XM 3 ,10.0,1.0
dM 20 XM 6 ,2.0546666666666664,0.2
dM 20 XM 9 ,2.054666666666666,0.2
dM 20 XM 12 ,2.0653333333333332,0.2
dM 20 XM 15 ,2.057333333333333,0.2
dM 25 XM 3 ,10.0,1.0
dM 25 XM 6 ,2.030666666666667,0.2
dM 25 XM 9 ,2.0280000000000005,0.2
dM 25 XM 12 ,2.0293333333333337,0.2
dM 25 XM 15 ,2.026666666666667,0.2
dM 5 YM 5 ,10.0,1.0
dM 5 YM 10 ,5.931999999999999,0.6533333333333333
dM 5 YM 15 ,5.809333333333334,0.6666666666666666
dM 5 YM 20 ,5.877333333333333,0.64
dM 5 YM 25 ,5.924,0.64
dM 10 YM 5 ,10.0,1.0
dM 10 YM 10 ,2.9226666666666663,0.3466666666666667
dM 10 YM 15 ,2.8426666666666667,0.30666666666666664
dM 10 YM 20 ,2.970666666666667,0.36
dM 10 YM 25 ,2.8866666666666663,0.36
dM 15 YM 5 ,10.0,1.0
dM 15 YM 10 ,2.2013333333333334,0.2
dM 15 YM 15 ,2.0973333333333333,0.2
dM 15 YM 20 ,2.056,0.2
dM 15 YM 25 ,2.0626666666666664,0.2
dM 20 YM 5 ,10.0,1.0
dM 20 YM 10 ,2.112,0.2
dM 20 YM 15 ,2.051999999999999,0.2
dM 20 YM 20 ,2.037333333333333,0.2
dM 20 YM 25 ,2.0306666666666664,0.2
dM 25 YM 5 ,10.0,1.0
dM 25 YM 10 ,2.0866666666666664,0.2
dM 25 YM 15 ,2.028,0.2
dM 25 YM 20 ,2.0,0.2
dM 25 YM 25 ,2.0,0.2
dM 5 serM 5 ,4.418666666666667,0.4266666666666667
dM 5 serM 10 ,7.204,0.7866666666666666
dM 5 serM 15 ,7.303999999999999,0.8
dM 5 serM 20 ,7.285333333333333,0.7866666666666666
dM 5 serM 25 ,7.3306666666666676,0.8
dM 10 serM 5 ,3.6,0.36
dM 10 serM 10 ,3.6759999999999993,0.36
dM 10 serM 15 ,4.36,0.49333333333333335
dM 10 serM 20 ,4.966666666666665,0.5466666666666666
dM 10 serM 25 ,5.02,0.6133333333333333
dM 15 serM 5 ,3.6,0.36
dM 15 serM 10 ,3.6,0.36
dM 15 serM 15 ,3.648,0.36
dM 15 serM 20 ,3.7066666666666666,0.36
dM 15 serM 25 ,3.862666666666665,0.36
dM 20 serM 5 ,3.6,0.36
dM 20 serM 10 ,3.6,0.36
dM 20 serM 15 ,3.6333333333333364,0.36
dM 20 serM 20 ,3.6839999999999993,0.36
dM 20 serM 25 ,3.7146666666666657,0.36
dM 25 serM 5 ,3.6,0.36
dM 25 serM 10 ,3.6,0.36
dM 25 serM 15 ,3.6,0.36
dM 25 serM 20 ,3.650666666666667,0.36
dM 25 serM 25 ,3.664,0.36
aM 1 XM 3 ,10.0,1.0
aM 1 XM 6 ,2.2544,0.208
aM 1 XM 9 ,2.2568,0.2
aM 1 XM 12 ,2.2704000000000004,0.208
aM 1 XM 15 ,2.2528,0.2
aM 2 XM 3 ,10.0,1.0
aM 2 XM 6 ,2.9712,0.344
aM 2 XM 9 ,2.8136000000000005,0.336
aM 2 XM 12 ,2.9880000000000004,0.328
